fnl,hpw,relation,gain,country,job,edu_int,years,loss,work_type,partner,edu,gender,race,prod,gtype,money
214227,30.0,NotF,0,United-States,Adm-clerical,11,23,0,Priv,D,AV,F,White,62,DC,<=50K
354923,40.0,NotM,0,United-States,Adm-clerical,12,55,0,Priv,D,AA,F,White,67,DC,<=50K
199198,40.0,NotF,0,United-States,?,7,62,0,?,D,11,F,Black,72,DC,<=50K
227214,40.0,H,0,Ecuador,Prof-specialty,13,32,0,Priv,MCS,B,M,Other,67,AC,<=50K
119422,30.0,NotM,0,India,Other-service,9,18,0,SelfInc,NM,HSG,F,Asian-Pac-Islander,92,DC,<=50K
403865,56.0,H,0,United-States,Craft-repair,10,24,0,Priv,MCS,SC,,White,12,AC,<=50K
205987,40.0,NotF,0,Cuba,Exec-managerial,15,40,0,Priv,NM,PS,F,White,67,DC,<=50K
102476,50.0,NotF,0,United-States,Prof-specialty,13,25,0,Priv,NM,B,M,White,67,AC,<=50K
111319,45.0,H,0,United-States,Sales,12,35,1887,SelfInc,MCS,AA,M,White,52,AC,>50K
194905,12.0,OwnC,0,United-States,Other-service,10,19,0,Priv,NM,SC,F,White,12,DC,<=50K
180318,35.0,NotM,0,United-States,Farming-fishing,6,42,0,LGov,NM,10,M,White,82,AC,<=50K
203277,60.0,H,0,United-States,Protective-serv,9,30,0,Priv,MCS,HSG,M,White,57,AC,>50K
109097,48.0,NotM,0,United-States,Adm-clerical,9,26,0,Priv,D,HSG,F,White,67,DC,<=50K
99096,38.0,NotF,0,United-States,Adm-clerical,10,48,1590,Priv,D,SC,F,White,67,DC,<=50K
64506,30.0,NotF,0,United-States,Other-service,110,43,0,Priv,D,SC,M,White,92,AC,<=50K
99388,40.0,H,0,El-Salvador,Other-service,12,38,0,Priv,MCS,AA,M,White,77,AC,<=50K
302406,55.0,H,0,United-States,Prof-specialty,14,27,0,Priv,MCS,M,M,White,62,AC,<=50K
254202,50.0,H,0,United-States,Sales,13,37,0,Priv,MCS,B,M,White,12,AC,<=50K
339767,20.0,W,0,England,Other-service,10,43,0,Priv,MCS,SC,F,White,17,DC,>50K
115422,30.0,H,0,United-States,Farming-fishing,9,39,0,Priv,MCS,HSG,M,White,67,AC,<=50K
135647,60.0,H,0,United-States,Sales,7,59,0,Priv,MCS,11,M,White,47,AC,<=50K
306646,,H,3103,United-States,Sales,190,39,0,Priv,MCS,SC,M,White,6288,AC,>50K
228287,50.0,H,0,United-States,Craft-repair,9,61,0,Priv,MCS,HSG,M,White,72,AC,<=50K
423024,20.0,OwnC,0,United-States,Handlers-cleaners,8,18,0,Priv,NM,12,M,White,42,AC,<=50K
227070,40.0,W,0,United-States,Machine-op-inspct,6,24,0,Priv,MCS,10,,White,42,DC,<=50K
161563,,H,0,United-States,Craft-repair,9,63,0,Priv,MCS,HSG,M,White,72,AC,<=50K
308334,30.0,NotM,0,Mexico,Other-service,2,46,0,Priv,W,1-4,F,Other,62,DC,<=50K
311184,24.0,H,0,United-States,Exec-managerial,13,75,0,Priv,MCS,B,M,White,47,AC,<=50K
199314,40.0,NotF,0,Poland,Adm-clerical,13,27,0,Priv,NM,B,M,White,52,AC,<=50K
118853,60.0,H,0,United-States,Exec-managerial,13,40,0,Priv,MCS,B,M,White,62,AC,<=50K
50178,35.0,OwnC,0,United-States,Sales,10,32,0,Priv,NM,SC,,White,17,AC,<=50K
127651,40.0,H,0,United-States,Prof-specialty,13,32,0,FGov,MCS,B,M,White,37,AC,>50K
340917,50.0,NotF,0,United-States,Prof-specialty,13,32,0,Priv,NM,B,M,White,77,AC,>50K
243743,40.0,H,0,United-States,Prof-specialty,13,46,0,Priv,MCS,B,,White,57,AC,>50K
100321,45.0,H,0,United-States,Prof-specialty,203,24,0,Priv,MCS,B,M,White,37,AC,<=50K
259323,5.0,NotF,0,United-States,?,15,69,0,?,D,PS,M,White,57,AC,<=50K
182437,45.0,NotF,0,United-States,Prof-specialty,13,43,0,Priv,NM,B,M,White,67,AC,>50K
141944,38.0,H,0,United-States,Prof-specialty,13,46,0,LGov,MCS,B,M,White,52,AC,>50K
167380,40.0,H,0,United-States,Farming-fishing,4,50,0,SelfNotInc,MCS,7-8,M,White,42,AC,<=50K
54887,40.0,H,0,United-States,Prof-specialty,16,47,0,SGov,MCS,D,,White,37,AC,>50K
199067,40.0,H,0,United-States,Craft-repair,9,55,0,Priv,MCS,HSG,M,White,57,AC,>50K
122742,55.0,H,15024,United-States,Exec-managerial,12,39,0,SelfInc,MCS,AA,M,White,30085,AC,>50K
378322,50.0,NotF,0,United-States,Craft-repair,9,25,2001,Priv,NM,HSG,M,White,72,AC,<=50K
103323,40.0,NotF,0,United-States,Craft-repair,9,37,0,Priv,NM,HSG,M,White,77,AC,<=50K
119721,40.0,H,0,United-States,Tech-support,9,41,0,Priv,MCS,HSG,M,White,47,AC,<=50K
225772,60.0,NotF,0,United-States,Prof-specialty,16,50,0,SelfNotInc,D,D,F,White,117,DC,>50K
359131,8.0,W,7298,?,Prof-specialty,13,35,0,Priv,MCS,B,F,White,14653,DC,>50K
167826,,H,0,United-States,?,13,69,0,?,MCS,B,M,White,67,AC,<=50K
179186,90.0,H,0,United-States,Sales,143,31,0,Priv,MCS,B,M,Black,52,AC,>50K
144685,40.0,OwnC,0,Taiwan,?,10,20,1602,?,NM,SC,,Asian-Pac-Islander,52,DC,<=50K
188774,40.0,H,0,United-States,Adm-clerical,13,37,0,Priv,MCS,B,,White,72,AC,<=50K
154410,50.0,H,0,United-States,Exec-managerial,13,35,0,Priv,MCS,B,M,White,62,AC,>50K
206951,40.0,H,0,United-States,Sales,14,35,0,Priv,MCS,M,M,White,87,AC,>50K
105794,50.0,NotF,14084,United-States,Prof-specialty,15,40,0,Priv,NM,PS,F,White,28225,DC,>50K
37778,40.0,H,0,United-States,Exec-managerial,10,36,0,Priv,MCS,SC,,White,32,AC,<=50K
31007,30.0,OwnC,0,United-States,Other-service,6,17,0,Priv,NM,10,F,White,32,DC,<=50K
137591,35.0,OwnC,0,United-States,Sales,10,22,0,Priv,NM,SC,M,White,62,AC,<=50K
96249,60.0,H,0,United-States,Sales,10,44,0,Priv,MCS,SC,M,White,67,AC,>50K
242391,,H,15024,United-States,Prof-specialty,15,47,0,SelfNotInc,MCS,PS,M,White,30125,AC,>50K
168276,40.0,NotF,0,United-States,Other-service,6,36,0,Priv,D,10,,White,27,DC,<=50K
173002,40.0,OwnC,0,United-States,Adm-clerical,9,31,0,Priv,NM,HSG,F,White,47,DC,<=50K
24008,72.0,OwnC,0,United-States,?,10,22,0,?,NM,SC,M,White,62,AC,<=50K
321787,,OwnC,0,United-States,Adm-clerical,120,34,0,Priv,NM,SC,M,White,92,AC,<=50K
241444,50.0,H,0,Puerto-Rico,Craft-repair,2,52,0,Priv,MCS,1-4,M,Other,7,AC,<=50K
243842,40.0,OwnC,0,United-States,Craft-repair,5,22,0,Priv,NM,9,M,White,52,AC,<=50K
96480,40.0,NotM,0,United-States,Exec-managerial,10,34,0,Priv,S,SC,F,White,12,DC,<=50K
79445,40.0,H,1173,United-States,?,6,76,0,?,MCS,10,,White,2408,AC,<=50K
213258,40.0,H,0,United-States,Craft-repair,9,26,0,Priv,MCS,HSG,M,White,67,AC,<=50K
113129,65.0,OwnC,0,United-States,Other-service,10,31,0,SGov,NM,SC,F,White,47,DC,<=50K
95929,40.0,NotF,0,United-States,Other-service,5,61,0,Priv,D,9,,White,47,AC,<=50K
194501,47.0,OwnC,0,United-States,Other-service,7,53,0,Priv,W,11,F,White,57,DC,<=50K
180446,40.0,H,0,United-States,Machine-op-inspct,6,48,0,Priv,MCS,10,M,Black,52,AC,<=50K
64632,50.0,H,0,United-States,Exec-managerial,9,42,0,SelfNotInc,MCS,HSG,M,White,7,AC,<=50K
173271,,NotM,0,United-States,Adm-clerical,9,47,0,Priv,D,HSG,F,White,67,DC,<=50K
64216,90.0,NotF,0,United-States,Transport-moving,9,49,0,Priv,D,HSG,M,White,97,AC,<=50K
162236,40.0,NotM,0,?,Exec-managerial,14,48,0,SelfNotInc,W,M,F,White,52,DC,>50K
308118,40.0,NotF,0,United-States,Exec-managerial,12,59,0,Priv,W,AA,F,White,27,DC,>50K
151322,40.0,NotF,0,United-States,Prof-specialty,13,37,0,SGov,NM,B,M,White,2,AC,<=50K
213902,40.0,Other,0,El-Salvador,Priv-house-serv,3,22,0,Priv,NM,5-6,,White,67,DC,<=50K
100933,40.0,Other,0,United-States,Exec-managerial,9,51,0,Priv,NM,HSG,F,White,47,DC,<=50K
460408,,H,0,United-States,Craft-repair,9,30,0,Priv,MCS,HSG,M,White,82,AC,>50K
143385,40.0,H,0,United-States,Protective-serv,120,36,0,SGov,MCS,SC,M,White,42,AC,<=50K
156464,45.0,NotF,0,United-States,Prof-specialty,14,30,0,Priv,NM,M,M,White,12,AC,>50K
138370,50.0,NotF,0,India,Sales,14,48,0,SelfInc,MSA,M,M,Asian-Pac-Islander,57,AC,<=50K
506830,40.0,NotM,0,United-States,Tech-support,10,38,0,FGov,D,SC,F,Black,67,DC,<=50K
168048,30.0,H,0,United-States,Prof-specialty,15,63,0,SelfNotInc,MCS,PS,M,White,12,AC,<=50K
176570,,OwnC,0,United-States,Machine-op-inspct,7,19,0,Priv,NM,11,M,White,22,AC,<=50K
137421,60.0,H,0,Trinadad&Tobago,Transport-moving,9,40,0,Priv,MCS,HSG,M,Asian-Pac-Islander,72,AC,<=50K
270502,20.0,OwnC,0,United-States,Exec-managerial,7,18,0,Priv,NM,11,,White,57,DC,<=50K
214891,,H,0,Dominican-Republic,Transport-moving,9,35,0,Priv,MCS,HSG,M,Other,72,AC,<=50K
151382,60.0,H,0,United-States,Transport-moving,9,29,0,Priv,MCS,HSG,M,White,62,AC,<=50K
240747,40.0,OwnC,0,Dominican-Republic,Machine-op-inspct,9,18,0,Priv,NM,HSG,F,White,62,DC,<=50K
98350,40.0,H,0,Philippines,Adm-clerical,10,50,0,Priv,MCS,SC,M,Asian-Pac-Islander,47,AC,>50K
392325,60.0,H,99999,United-States,Sales,183,55,0,SelfInc,MCS,B,M,White,200050,AC,>50K
130438,40.0,H,0,United-States,Machine-op-inspct,9,29,0,Priv,MCS,HSG,M,White,87,AC,<=50K
94401,40.0,NotM,0,United-States,Exec-managerial,9,20,0,Priv,NM,HSG,F,White,12,DC,<=50K
80638,,H,0,China,Other-service,13,37,0,Priv,MCS,B,M,Asian-Pac-Islander,77,AC,<=50K
298661,40.0,NotF,0,United-States,Tech-support,13,28,0,FGov,NM,B,F,Black,22,DC,<=50K
301614,40.0,H,0,United-States,Other-service,7,39,0,LGov,MCS,11,M,White,52,AC,<=50K
274103,10.0,OwnC,0,United-States,Prof-specialty,13,22,0,FGov,NM,B,M,White,27,AC,<=50K
173968,40.0,H,0,United-States,Transport-moving,9,37,0,Priv,MCS,HSG,M,White,27,AC,<=50K
20507,50.0,H,7688,United-States,Craft-repair,9,36,0,Priv,MCS,HSG,M,White,15413,AC,>50K
227232,30.0,NotF,0,United-States,Sales,113,61,0,SelfInc,S,B,F,White,57,DC,<=50K
284196,40.0,NotF,0,United-States,Other-service,6,27,0,Priv,D,10,,White,37,DC,<=50K
185127,,H,0,United-States,Sales,9,29,0,Priv,MCS,HSG,M,White,72,AC,<=50K
234057,45.0,H,0,United-States,Craft-repair,9,51,0,Priv,MCS,HSG,M,White,47,AC,>50K
216134,40.0,OwnC,0,United-States,Sales,10,22,0,Priv,NM,SC,F,Black,52,DC,<=50K
219110,46.0,H,0,United-States,Craft-repair,9,30,0,Priv,MCS,HSG,M,White,27,AC,<=50K
118993,,NotM,0,United-States,Exec-managerial,10,55,0,Priv,S,SC,F,White,72,DC,<=50K
423052,30.0,NotF,0,United-States,Machine-op-inspct,9,18,0,Priv,NM,HSG,F,White,27,DC,<=50K
151089,50.0,H,0,United-States,Transport-moving,10,43,0,Priv,MCS,SC,M,White,57,AC,<=50K
206354,35.0,NotM,0,United-States,Other-service,9,21,0,Priv,NM,HSG,F,Black,107,DC,<=50K
253370,35.0,W,0,United-States,?,9,40,0,?,MCS,HSG,F,White,17,DC,>50K
191276,40.0,NotM,0,United-States,Handlers-cleaners,11,31,0,Priv,D,AV,F,White,37,DC,<=50K
205359,32.0,W,0,United-States,Adm-clerical,7,38,0,Priv,MCS,11,F,White,47,DC,<=50K
126822,60.0,OwnC,0,United-States,Adm-clerical,13,22,0,Priv,NM,B,F,White,32,DC,<=50K
326379,,NotF,0,United-States,Craft-repair,9,43,0,Priv,D,HSG,M,White,62,AC,<=50K
116057,16.0,NotF,3273,United-States,Exec-managerial,9,67,0,SelfNotInc,D,HSG,F,White,6623,DC,<=50K
180211,30.0,H,0,Philippines,Craft-repair,13,66,0,Priv,MCS,B,M,Asian-Pac-Islander,62,AC,<=50K
178835,,NotF,0,United-States,Adm-clerical,9,32,0,Priv,NM,HSG,M,White,12,AC,<=50K
89737,48.0,H,0,United-States,Craft-repair,10,50,0,SelfNotInc,MCS,SC,M,White,52,AC,<=50K
196269,40.0,H,0,United-States,Handlers-cleaners,7,24,0,Priv,MCS,11,M,Other,47,AC,<=50K
111939,35.0,H,0,United-States,Transport-moving,9,51,0,SelfNotInc,MCS,HSG,M,White,107,AC,>50K
137681,40.0,H,0,United-States,Other-service,10,31,0,Priv,MCS,SC,M,White,72,AC,<=50K
245487,40.0,H,0,Mexico,Craft-repair,9,43,0,Priv,MCS,HSG,M,Other,47,AC,<=50K
53833,40.0,H,0,United-States,Machine-op-inspct,9,54,0,Priv,MCS,HSG,M,White,22,AC,>50K
150175,20.0,OwnC,0,United-States,Adm-clerical,10,22,0,Priv,NM,SC,F,White,42,DC,<=50K
172709,40.0,NotM,0,United-States,Other-service,9,48,0,Priv,D,HSG,F,Black,37,DC,<=50K
116797,,H,7298,United-States,Sales,9,41,0,Priv,MCS,HSG,M,White,14703,AC,>50K
154950,72.0,H,0,United-States,Protective-serv,13,30,0,LGov,MCS,B,M,White,62,AC,>50K
262478,30.0,OwnC,0,United-States,Farming-fishing,9,27,0,Priv,NM,HSG,M,Black,17,AC,<=50K
188774,40.0,NotF,0,United-States,Exec-managerial,13,37,2824,Priv,NM,B,M,White,72,AC,>50K
66460,45.0,NotM,0,United-States,Exec-managerial,10,42,0,Priv,D,SC,F,White,107,DC,<=50K
163047,38.0,NotF,0,United-States,Adm-clerical,10,59,0,SGov,D,SC,F,White,57,DC,<=50K
211035,30.0,W,0,United-States,Adm-clerical,13,62,0,Priv,MCS,B,F,White,12,DC,>50K
447882,20.0,NotF,0,United-States,Adm-clerical,10,18,0,Priv,NM,SC,F,White,97,DC,<=50K
32185,70.0,NotM,0,United-States,Transport-moving,9,44,0,Priv,NM,HSG,M,White,37,AC,<=50K
164231,35.0,OwnC,0,United-States,Prof-specialty,7,23,0,Priv,S,11,M,White,67,AC,<=50K
193047,40.0,H,0,United-States,Exec-managerial,9,46,0,Priv,MCS,HSG,M,White,87,AC,>50K
212465,40.0,H,0,United-States,Craft-repair,9,35,0,Priv,MCS,HSG,M,White,42,AC,>50K
78172,40.0,H,0,United-States,Protective-serv,10,26,0,Priv,MAS,SC,M,White,42,AC,<=50K
110610,50.0,H,0,United-States,Farming-fishing,6,63,0,SelfInc,MCS,10,M,White,62,AC,<=50K
182494,40.0,OwnC,0,United-States,Machine-op-inspct,4,23,0,Priv,NM,7-8,M,White,27,AC,<=50K
266764,45.0,H,0,United-States,Craft-repair,10,48,0,Priv,MCS,SC,M,White,32,AC,>50K
174090,20.0,W,0,United-States,Adm-clerical,9,43,0,SelfNotInc,MCS,HSG,F,White,77,DC,>50K
114650,40.0,H,0,United-States,Craft-repair,5,64,0,SGov,MCS,9,M,White,7,AC,<=50K
82775,55.0,H,0,United-States,Sales,10,60,0,Priv,MCS,SC,M,White,97,AC,<=50K
212668,30.0,OwnC,0,United-States,Sales,10,20,0,Priv,NM,SC,F,White,82,DC,<=50K
282753,40.0,OwnC,0,United-States,Exec-managerial,11,38,0,LGov,D,AV,M,White,47,AC,<=50K
133299,40.0,H,0,United-States,Craft-repair,11,36,0,Priv,MCS,AV,M,White,57,AC,<=50K
337940,40.0,NotF,0,Mexico,Transport-moving,3,26,0,Priv,NM,5-6,M,White,127,AC,<=50K
178417,40.0,NotF,0,United-States,Prof-specialty,13,43,0,Priv,D,B,M,White,47,AC,<=50K
123088,46.0,H,0,United-States,Exec-managerial,10,49,0,LGov,MCS,SC,M,White,72,AC,<=50K
150755,75.0,H,99999,United-States,Prof-specialty,13,40,0,LGov,MCS,B,M,White,200070,AC,>50K
175325,40.0,H,0,United-States,Protective-serv,9,28,0,SGov,MCS,HSG,M,White,57,AC,<=50K
330144,48.0,H,0,United-States,Sales,14,67,0,SelfInc,MCS,M,M,White,117,AC,>50K
201556,50.0,NotF,0,United-States,Prof-specialty,13,29,0,SGov,NM,B,M,White,7,AC,<=50K
140237,40.0,H,0,United-States,?,1,64,0,?,MCS,P,M,White,42,AC,<=50K
175878,35.0,H,0,United-States,Craft-repair,4,32,0,Priv,MCS,7-8,M,White,87,AC,<=50K
190226,,OwnC,0,United-States,Protective-serv,9,35,0,LGov,NM,HSG,M,White,22,AC,<=50K
117779,35.0,OwnC,0,United-States,Transport-moving,9,32,0,Priv,NM,HSG,F,White,117,DC,<=50K
206351,40.0,H,0,United-States,Sales,10,28,0,Priv,MCS,SC,M,White,72,AC,<=50K
249550,44.0,NotF,0,United-States,Prof-specialty,10,32,0,Priv,NM,SC,M,White,127,AC,<=50K
204640,40.0,NotM,0,United-States,Adm-clerical,10,38,0,Priv,W,SC,F,Black,82,DC,<=50K
218948,40.0,NotM,0,?,Other-service,5,36,0,Priv,S,9,F,Black,7,DC,<=50K
236805,60.0,NotM,0,United-States,Sales,10,47,0,Priv,D,SC,,White,97,DC,<=50K
132686,40.0,H,0,United-States,Handlers-cleaners,9,28,0,Priv,MCS,HSG,M,White,52,AC,>50K
35224,40.0,H,0,United-States,Craft-repair,9,50,0,Priv,MCS,HSG,M,White,72,AC,<=50K
211547,52.0,NotF,0,United-States,Sales,8,58,0,SelfNotInc,D,12,F,White,42,DC,<=50K
197113,20.0,NotM,0,United-States,Adm-clerical,10,38,0,Priv,D,SC,F,Black,87,DC,<=50K
202662,40.0,H,0,United-States,Prof-specialty,14,36,0,Priv,MCS,M,M,White,12,AC,>50K
128105,35.0,H,0,United-States,Farming-fishing,9,59,0,SelfNotInc,MCS,HSG,M,White,77,AC,<=50K
319685,54.0,H,0,United-States,?,11,37,0,?,MCS,AV,M,White,57,AC,>50K
247734,30.0,OwnC,0,United-States,?,13,24,0,?,NM,B,M,White,47,AC,<=50K
199551,40.0,NotF,0,United-States,Tech-support,7,44,0,SGov,S,11,M,Black,2,AC,<=50K
256522,40.0,H,0,?,Handlers-cleaners,9,47,0,Priv,MCS,HSG,,White,32,AC,<=50K
58522,40.0,H,0,United-States,Craft-repair,9,29,0,Priv,MCS,HSG,M,White,97,AC,<=50K
30035,40.0,OwnC,0,United-States,Sales,12,20,0,Priv,NM,AA,F,White,52,DC,<=50K
