residential_status,loan_rate,loan_amount,loan_purpose,job_tenure_years,credit_history_length_years,applicant_age,applicant_income,loan_rating,credit_history_default_status,loan_income_ratio,stability_rating,credit_history_length_months,loan_approval_status
Renter,9.32,2400.0,Study,7.0,3,26,54500,Excellent,No,0.04,C,41.0,Approved
Mortgage,13.11,25000.0,Health,8.0,3,24,89000,Good,Yes,0.28,B,46.0,Approved
Renter,13.43,15000.0,Personal,4.0,4,23,69996,Good,Yes,0.21,C,51.0,Approved
Renter,10.59,15775.0,Study,4.0,14,40,56472,Very Good,No,0.28,C,179.0,Approved
Owner,10.59,4400.0,Health,7.0,8,34,26496,Very Good,No,0.17,A,107.0,Approved
Renter,11.99,7200.0,Study,0.0,10,34,28800,Very Good,No,0.25,C,122.0,Declined
Mortgage,7.88,18000.0,Debt Consolidation,9.0,4,25,50000,Excellent,,0.36,B,50.0,Approved
Renter,16.89,5500.0,Personal,3.0,3,26,34000,Fair,,0.16,C,39.0,Approved
Renter,7.68,6000.0,Personal,5.0,3,21,65004,Excellent,No,0.09,C,44.0,Approved
Mortgage,11.86,3000.0,Study,19.0,5,35,27600,Very Good,No,0.11,B,67.0,Approved
Renter,14.11,10000.0,Business,0.0,2,22,66500,Fair,Yes,0.15,C,26.0,Declined
Owner,5.79,9600.0,Health,3.0,10,27,39000,Excellent,No,0.25,A,129.0,Approved
Mortgage,10.0,18050.0,Health,12.0,10,27,75288,Very Good,No,0.24,B,126.0,Approved
Renter,6.54,12000.0,Business,1.0,2,24,35000,Excellent,No,0.34,C,28.0,Declined
Mortgage,10.36,9250.0,Study,,6,31,52800,Very Good,No,0.18,B,79.0,Approved
Renter,10.59,12000.0,Study,,2,23,210000,Very Good,No,0.06,C,25.0,Approved
Renter,5.99,6150.0,Debt Consolidation,5.0,4,24,77385,Excellent,No,0.08,C,52.0,Approved
Mortgage,10.37,20000.0,Home Improvement,0.0,6,29,260000,Very Good,No,0.08,B,77.0,Approved
Mortgage,10.0,15000.0,Personal,3.0,7,33,100000,Very Good,No,0.15,B,88.0,Approved
Mortgage,7.29,5000.0,Health,10.0,2,25,64000,Excellent,No,0.08,B,29.0,Approved
Mortgage,14.26,20000.0,Home Improvement,1.0,10,31,78000,Good,Yes,0.26,B,125.0,Declined
Renter,12.42,3600.0,Study,2.0,4,22,37008,Very Good,No,0.1,C,,Approved
Mortgage,,4200.0,Study,0.0,2,21,38400,Excellent,No,0.11,B,27.0,Approved
Mortgage,10.25,6000.0,Personal,7.0,10,27,36000,Very Good,No,0.17,B,126.0,Approved
Mortgage,13.49,15000.0,Study,10.0,17,38,72000,Good,No,0.21,B,213.0,Approved
Owner,9.99,3000.0,Home Improvement,1.0,5,34,28000,Very Good,No,0.11,A,62.0,Approved
Mortgage,5.42,6000.0,Home Improvement,3.0,4,24,58000,Excellent,No,0.1,B,59.0,Approved
Mortgage,16.29,14000.0,Business,3.0,17,39,61000,Fair,Yes,0.23,B,212.0,Approved
Renter,7.29,10000.0,Business,0.0,3,22,46200,Excellent,No,0.22,C,44.0,Approved
Renter,19.29,3000.0,Debt Consolidation,4.0,2,24,30000,Poor,,0.1,C,25.0,Declined
Owner,12.18,689156775.0,Business,4.0,10,27,78000,Very Good,No,0.08,A,,Approved
Owner,8.9,23800.0,Personal,5.0,2,24,102000,Excellent,No,0.23,A,30.0,Approved
Renter,11.49,8400.0,Health,10.0,3,26,35960,Very Good,No,0.23,C,39.0,Approved
Mortgage,15.62,16800.0,Health,0.0,4,22,91800,Fair,Yes,0.16,B,59.0,Declined
Renter,8.9,14125.0,Study,5.0,7,30,36500,Excellent,No,0.39,C,91.0,Declined
Renter,19.42,17250.0,Debt Consolidation,4.0,10,35,54000,Poor,No,0.32,C,128.0,Declined
Renter,5.79,10000.0,Debt Consolidation,7.0,3,23,78000,Excellent,No,0.13,C,47.0,Approved
Mortgage,13.57,11700.0,Home Improvement,2.0,2,24,55600,Good,Yes,0.21,B,29.0,Approved
Renter,6.03,4600.0,Health,0.0,3,23,27864,Excellent,No,0.17,C,42.0,Approved
Mortgage,9.32,12000.0,Debt Consolidation,9.0,7,29,54000,Excellent,No,0.22,B,85.0,Approved
Owner,9.96,3000.0,Debt Consolidation,1.0,3,22,18000,Very Good,No,0.17,A,38.0,Declined
Renter,,7200.0,Debt Consolidation,4.0,7,28,50000,Very Good,,0.14,C,87.0,Approved
Renter,8.0,7300.0,Study,1.0,4,25,53600,Excellent,No,0.14,C,51.0,Approved
Mortgage,10.38,16000.0,Health,8.0,2,24,140000,Very Good,No,0.11,B,35.0,Approved
Mortgage,16.49,15000.0,Health,7.0,3,26,67983,Fair,Yes,0.19,B,38.0,Declined
Renter,15.21,5000.0,Debt Consolidation,0.0,8,28,74000,Fair,No,0.07,C,105.0,Declined
Mortgage,7.51,8150.0,Health,2.0,4,22,75000,Excellent,,0.11,B,53.0,Approved
Renter,7.88,6000.0,Study,3.0,8,29,59000,Excellent,No,0.1,C,103.0,Approved
Renter,9.63,413494065.00000006,Business,3.0,6,28,82300,Excellent,,0.04,C,81.0,Approved
Owner,13.72,1600.0,Personal,0.0,5,34,16800,Good,Yes,0.1,A,69.0,Approved
Owner,5.99,5000.0,Home Improvement,3.0,10,30,50000,Excellent,No,0.1,A,124.0,Approved
Renter,13.11,2000.0,Study,1.0,4,22,24000,Good,,0.08,C,57.0,Approved
Mortgage,7.49,2200.0,Debt Consolidation,11.0,6,31,39000,Excellent,No,0.06,B,81.0,Declined
Mortgage,,20000.0,Debt Consolidation,8.0,3,24,200000,Very Good,No,0.1,B,37.0,Approved
Renter,10.99,5000.0,Personal,1.0,13,39,48500,Very Good,No,0.1,C,162.0,Approved
Renter,12.23,14400.0,Home Improvement,5.0,4,24,70000,Good,No,0.21,C,58.0,Approved
Renter,11.71,5200.0,Health,4.0,2,23,54000,Very Good,No,0.1,C,34.0,Approved
Mortgage,9.64,2500.0,Personal,0.0,3,23,69000,Very Good,No,0.04,B,41.0,Declined
Renter,11.83,15000.0,Business,5.0,9,29,65000,Very Good,No,0.23,C,109.0,Approved
Mortgage,,9000.0,Business,8.0,4,24,60000,Very Good,No,0.15,B,52.0,Approved
Renter,15.23,4200.0,Business,6.0,7,28,30000,Good,Yes,0.14,C,87.0,Approved
Mortgage,6.62,12000.0,Home Improvement,8.0,8,29,92000,Excellent,No,0.13,B,98.0,Approved
Mortgage,,25000.0,Business,15.0,10,30,175000,Fair,Yes,0.14,B,126.0,Approved
Renter,,20000.0,Personal,2.0,2,22,94500,Very Good,No,0.21,C,29.0,Approved
Renter,7.49,20000.0,Personal,6.0,4,22,160000,Excellent,No,0.13,C,51.0,Approved
Owner,15.21,25000.0,Health,2.0,10,32,107400,Fair,,0.23,A,129.0,Approved
Renter,12.69,6500.0,Health,2.0,15,41,28800,Very Good,No,0.23,C,181.0,Approved
Renter,17.19,25000.0,Personal,2.0,8,35,123000,Poor,Yes,0.2,C,97.0,Declined
Mortgage,9.91,6000.0,Debt Consolidation,0.0,4,24,112000,Very Good,No,0.05,B,56.0,Approved
Mortgage,10.0,18000.0,Debt Consolidation,2.0,10,31,68000,Very Good,No,0.26,B,122.0,Approved
Renter,12.69,15600.0,Personal,11.0,9,27,90000,Very Good,No,0.17,C,113.0,Approved
Mortgage,13.49,23500.0,Health,0.0,4,25,48000,Good,Yes,0.49,B,58.0,Approved
Renter,15.05,15000.0,Debt Consolidation,1.0,2,25,36000,Fair,Yes,0.42,C,28.0,Declined
Mortgage,15.95,25000.0,Home Improvement,5.0,9,27,120000,Fair,No,0.21,B,112.0,Approved
Renter,7.14,7800.0,Business,2.0,3,25,43000,Excellent,,0.18,C,,Approved
Owner,10.96,7500.0,Business,6.0,2,26,22000,Very Good,No,0.34,A,27.0,Approved
Renter,14.65,9000.0,Study,0.0,9,33,103000,Good,Yes,0.09,C,111.0,Declined
Renter,13.16,10800.0,Business,2.0,4,24,45996,Good,No,0.23,C,,Approved
Renter,9.62,2500.0,Personal,0.0,12,37,48000,Very Good,No,0.05,C,147.0,Approved
Renter,14.91,14000.0,Business,8.0,5,28,80000,Fair,No,0.17,C,68.0,Approved
Renter,11.49,8000.0,Health,8.0,2,24,38000,Very Good,No,0.21,C,26.0,Approved
Renter,20.17,5000.0,Personal,4.0,10,32,44000,Extremely Poor,No,0.11,C,126.0,Declined
Renter,9.88,13000.0,Business,2.0,14,37,130000,Very Good,No,0.1,C,177.0,Approved
Owner,13.16,3000.0,Study,0.0,2,22,49140,Good,No,0.06,A,32.0,Approved
Mortgage,14.79,15000.0,Health,4.0,4,26,200000,Good,No,0.07,B,51.0,Approved
Mortgage,9.99,25000.0,Personal,27.0,27,65,93000,Very Good,No,0.27,B,334.0,Approved
Mortgage,15.65,29000.0,Study,6.0,2,22,88812,Fair,,0.33,B,32.0,Approved
Mortgage,5.99,4000.0,Debt Consolidation,3.0,4,21,36000,Excellent,No,0.11,B,55.0,Approved
Mortgage,14.22,10700.0,Home Improvement,0.0,9,29,150000,Good,No,0.07,B,112.0,Approved
Renter,16.02,5000.0,Study,4.0,3,20,94000,Fair,No,0.05,C,44.0,Approved
Mortgage,7.88,12000.0,Home Improvement,13.0,8,28,100000,Excellent,No,0.12,B,100.0,Approved
Mortgage,14.65,15000.0,Study,11.0,6,27,100500,Good,No,0.15,B,78.0,Approved
Renter,8.59,5500.0,Study,1.0,6,30,42312,Excellent,No,0.13,C,,Approved
Renter,14.83,15000.0,Study,8.0,2,23,54996,Fair,No,0.27,C,29.0,Approved
Mortgage,,4200.0,Home Improvement,3.0,16,36,828000,Very Good,No,0.01,B,202.0,Approved
Owner,9.32,650870287.5,Study,6.0,4,22,55000,Excellent,No,0.07,A,58.0,Approved
Renter,17.27,12000.0,Debt Consolidation,4.0,7,31,44000,Fair,No,0.27,C,85.0,Declined
Renter,11.89,5500.0,Debt Consolidation,1.0,4,23,43000,Very Good,No,0.13,C,52.0,Approved
Owner,14.74,2500.0,Study,1.0,10,31,17676,Fair,No,0.14,A,122.0,Approved
Mortgage,10.78,2150.0,Health,12.0,7,28,11029,Good,Yes,0.19,B,90.0,Declined
Renter,10.99,5000.0,Health,3.0,2,24,38400,Very Good,No,0.13,C,35.0,Approved
Renter,9.25,10000.0,Health,7.0,16,37,30000,Very Good,No,0.33,C,195.0,Declined
Mortgage,13.61,4000.0,Debt Consolidation,11.0,6,32,35000,Good,No,0.11,B,,Approved
Mortgage,5.42,421151362.50000006,Home Improvement,18.0,8,34,58000,Excellent,No,0.07,B,100.0,Approved
Mortgage,6.17,13500.0,Home Improvement,,9,27,47400,Excellent,No,0.28,B,111.0,Approved
Mortgage,9.88,9000.0,Debt Consolidation,3.0,2,24,41000,Very Good,No,0.22,B,34.0,Approved
Renter,8.88,18000.0,Business,5.0,16,37,43200,Very Good,No,0.42,C,198.0,Declined
Mortgage,7.88,10000.0,Study,6.0,3,22,90000,Excellent,No,0.11,B,41.0,Approved
Mortgage,16.95,9000.0,Study,11.0,8,28,225000,Poor,Yes,0.04,B,101.0,Declined
Renter,7.49,6000.0,Health,3.0,2,26,45000,Excellent,No,0.13,C,26.0,Approved
Mortgage,13.85,15000.0,Debt Consolidation,3.0,6,29,88000,Good,,0.17,B,,Approved
Mortgage,7.51,17500.0,Health,8.0,4,26,93000,Excellent,No,0.19,B,55.0,Approved
Renter,9.63,3600.0,Study,3.0,5,28,60000,Very Good,No,0.06,C,63.0,Approved
Mortgage,9.32,10000.0,Home Improvement,12.0,10,28,199000,Excellent,No,0.05,B,125.0,Approved
Mortgage,6.76,2500.0,Personal,6.0,2,24,29200,Excellent,No,0.09,B,33.0,Approved
Renter,12.21,3000.0,Health,10.0,4,26,125000,Very Good,No,0.02,C,55.0,Approved
Renter,13.23,1800.0,Debt Consolidation,11.0,5,27,29040,Good,Yes,0.06,C,63.0,Declined
Mortgage,11.83,20000.0,Debt Consolidation,0.0,2,22,100000,Very Good,No,0.2,B,27.0,Approved
Renter,13.87,20000.0,Personal,8.0,4,24,60000,Fair,No,0.33,C,56.0,Declined
Renter,14.96,25000.0,Business,7.0,5,29,92200,Fair,No,0.27,C,64.0,Approved
Renter,8.88,2250.0,Business,0.0,8,30,42000,Very Good,No,0.05,C,97.0,Approved
Mortgage,10.59,22000.0,Health,5.0,10,29,80000,Very Good,No,0.28,B,127.0,Approved
Renter,,18000.0,Study,1.0,15,39,73500,Good,,0.24,C,189.0,Approved
Mortgage,9.25,10000.0,Home Improvement,10.0,3,26,63000,Very Good,No,0.16,B,43.0,Approved
Unknown,9.63,7200.0,Personal,2.0,15,36,68000,Excellent,No,0.11,D,191.0,Approved
Mortgage,15.62,30000.0,Health,5.0,2,21,159800,Fair,No,0.16,B,30.0,Declined
Mortgage,11.14,15000.0,Business,15.0,8,30,66000,Very Good,No,0.23,B,103.0,Approved
Renter,18.43,5000.0,Health,0.0,9,34,20000,Very Poor,No,0.25,C,118.0,Declined
Renter,18.62,30000.0,Debt Consolidation,7.0,3,23,78000,Very Poor,Yes,0.38,C,45.0,Declined
Mortgage,5.42,10000.0,Business,6.0,8,28,99996,Excellent,No,0.1,B,102.0,Approved
Renter,7.66,18500.0,Health,2.0,4,22,38000,Excellent,,0.49,C,54.0,Declined
Renter,8.0,1200.0,Debt Consolidation,5.0,9,30,14800,Excellent,No,0.08,C,112.0,Approved
Mortgage,7.49,10500.0,Debt Consolidation,9.0,3,25,155004,Excellent,No,0.07,B,42.0,Approved
Owner,11.36,14400.0,Personal,5.0,3,21,53000,Very Good,,0.27,A,,Approved
Owner,6.76,3500.0,Study,6.0,4,24,65000,Excellent,No,0.05,A,58.0,Approved
Renter,16.0,12000.0,Debt Consolidation,5.0,5,27,42000,Poor,Yes,0.29,C,66.0,Declined
Owner,9.91,3000.0,Study,6.0,2,26,50000,Very Good,No,0.06,A,27.0,Approved
Owner,5.99,1527630851.25,Health,2.0,3,25,36000,Excellent,No,0.23,A,45.0,Approved
Mortgage,5.79,12000.0,Home Improvement,16.0,14,40,70000,Excellent,No,0.17,B,173.0,Approved
Mortgage,,4800.0,Health,2.0,5,29,65000,Excellent,No,0.07,B,61.0,Approved
Renter,7.88,6000.0,Home Improvement,4.0,3,25,90000,Excellent,No,0.07,C,,Approved
Renter,16.29,21000.0,Home Improvement,2.0,5,33,57500,Fair,Yes,0.37,C,66.0,Declined
Renter,16.77,2500.0,Home Improvement,2.0,3,24,36000,Fair,No,0.07,C,45.0,Declined
Renter,7.74,7000.0,Health,4.0,2,25,30000,Excellent,No,0.23,C,27.0,Approved
Renter,13.79,10000.0,Health,4.0,14,37,32000,Good,No,0.31,C,172.0,Declined
Renter,7.88,7800.0,Debt Consolidation,1.0,2,21,100000,Excellent,No,0.08,C,28.0,Approved
Renter,14.22,11000.0,Personal,5.0,4,21,29004,Good,Yes,0.38,C,52.0,Declined
Renter,15.58,24250.0,Health,8.0,14,42,68850,Fair,No,0.3,C,178.0,Declined
Owner,9.25,25000.0,Personal,10.0,2,26,190000,Very Good,No,0.13,A,30.0,Approved
Mortgage,10.25,10000.0,Health,12.0,9,32,67000,Very Good,No,0.15,B,112.0,Approved
Mortgage,7.66,5500.0,Study,6.0,10,29,42000,Excellent,No,0.13,B,124.0,Declined
Renter,13.49,3500.0,Study,4.0,6,31,79500,Good,Yes,0.04,C,80.0,Approved
Renter,13.22,15000.0,Personal,0.0,17,46,102000,Good,Yes,0.15,C,214.0,Approved
Mortgage,19.03,4000.0,Business,9.0,3,25,80000,Poor,,0.05,B,46.0,Approved
Renter,10.74,5000.0,Personal,6.0,10,29,24000,Very Good,No,0.21,C,121.0,Approved
Renter,15.21,15000.0,Personal,5.0,10,31,59534,Fair,Yes,0.25,C,125.0,Approved
Mortgage,6.62,4000.0,Debt Consolidation,11.0,15,37,90000,Excellent,No,0.04,B,191.0,Approved
Mortgage,11.83,3600.0,Study,1.0,3,25,121000,Very Good,No,0.03,B,46.0,Approved
Mortgage,10.75,22000.0,Personal,3.0,8,33,160000,Very Good,No,0.14,B,107.0,Approved
Owner,15.95,25000.0,Study,6.0,2,22,83000,Fair,No,0.3,A,29.0,Approved
Renter,5.42,4200.0,Health,2.0,3,23,62000,Excellent,No,0.07,C,42.0,Approved
Mortgage,14.96,15000.0,Personal,1.0,5,34,171996,Fair,No,0.09,B,63.0,Approved
Renter,10.36,12000.0,Debt Consolidation,2.0,2,22,119000,Very Good,No,0.1,C,,Approved
Mortgage,,4000.0,Health,1.0,3,25,18000,Very Good,No,0.22,B,43.0,Declined
Renter,12.21,6150.0,Study,0.0,10,35,29400,Very Good,No,0.21,C,125.0,Approved
Renter,5.79,7500.0,Personal,1.0,4,24,40000,Excellent,,0.19,C,52.0,Approved
Renter,10.99,2200.0,Health,13.0,8,30,52416,Very Good,No,0.04,C,102.0,Approved
Renter,7.29,10000.0,Study,11.0,6,29,31500,Excellent,,0.32,C,76.0,Declined
Mortgage,10.37,4000.0,Debt Consolidation,0.0,7,33,150000,Very Good,,0.03,B,94.0,Approved
Renter,,12000.0,Personal,2.0,6,34,30000,Excellent,No,0.4,C,74.0,Declined
Owner,14.74,4000.0,Debt Consolidation,0.0,2,22,31193,Fair,Yes,0.13,A,29.0,Approved
Owner,9.88,10000.0,Personal,4.0,25,52,100000,Very Good,No,0.1,A,307.0,Approved
Owner,9.91,14000.0,Study,,3,22,31215,Very Good,No,0.45,A,38.0,Approved
Mortgage,8.0,7000.0,Debt Consolidation,3.0,6,31,96713,Excellent,No,0.07,B,76.0,Approved
Owner,11.99,1200.0,Health,1.0,15,37,30480,Very Good,No,0.04,A,181.0,Approved
Renter,7.49,12500.0,Business,5.0,4,21,49000,Excellent,No,0.26,C,52.0,Approved
Mortgage,12.42,4625.0,Debt Consolidation,4.0,5,31,40000,Very Good,No,0.12,B,66.0,Approved
Mortgage,,19000.0,Business,2.0,4,24,104000,Excellent,No,0.18,B,51.0,Approved
Renter,14.72,6000.0,Debt Consolidation,9.0,2,25,36000,Good,No,0.17,C,,Approved
Renter,10.37,20000.0,Home Improvement,2.0,7,30,52500,Very Good,No,0.38,C,95.0,Declined
Renter,10.25,12000.0,Debt Consolidation,0.0,4,22,31000,Very Good,No,0.39,C,57.0,Declined
Renter,13.85,3000.0,Health,,14,38,30132,Good,Yes,0.1,C,171.0,Declined
Owner,7.88,10000.0,Business,2.0,5,31,30000,Excellent,No,0.33,A,62.0,Approved
Renter,16.45,1000.0,Debt Consolidation,4.0,2,21,34500,Poor,No,0.03,C,28.0,Declined
Mortgage,12.99,6000.0,Study,6.0,2,22,42000,Good,Yes,0.14,B,35.0,Approved
Renter,7.88,7500.0,Study,1.0,2,21,55000,Excellent,No,0.14,C,,Approved
Owner,9.91,5000.0,Health,3.0,6,27,37000,Very Good,No,0.14,A,74.0,Approved
Mortgage,6.99,8000.0,Debt Consolidation,0.0,2,26,93000,Excellent,No,0.09,B,35.0,Approved
Renter,14.74,5500.0,Health,4.0,12,40,30000,Fair,No,0.18,C,148.0,Approved
Renter,,3500.0,Health,2.0,2,22,21600,Fair,No,0.16,C,27.0,Declined
Mortgage,13.61,4750.0,Home Improvement,2.0,8,30,19200,Good,,0.25,B,103.0,Declined
Mortgage,11.36,22500.0,Health,1.0,5,31,96000,Very Good,No,0.23,B,64.0,Approved
Mortgage,14.96,19950.0,Study,3.0,7,27,73580,Fair,No,0.27,B,92.0,Approved
Mortgage,11.11,1375.0,Health,5.0,3,23,24000,Very Good,,0.06,B,42.0,Declined
Renter,,4800.0,Study,0.0,3,26,24000,Excellent,No,0.2,C,43.0,Approved
Renter,11.71,4900.0,Health,11.0,5,27,30000,Very Good,No,0.16,C,,Approved
Mortgage,11.83,20000.0,Home Improvement,1.0,5,29,84000,Very Good,No,0.24,B,69.0,Approved
Renter,12.69,30000.0,Health,4.0,3,22,66300,Very Good,No,0.38,C,41.0,Declined
Mortgage,7.51,13500.0,Personal,13.0,7,29,60000,Excellent,No,0.23,B,86.0,Approved
