residential_status,loan_rate,loan_amount,loan_purpose,loan_approval_status,job_tenure_years,credit_history_length_years,applicant_age,applicant_income,loan_rating,credit_history_default_status,loan_income_ratio,stability_rating,credit_history_length_months
Mortgage,11.11,20000,Health,Approved,6.0,4,26,96000,Very Good,No,0.21,B,52
Renter,,12300,Business,Approved,0.0,4,23,55000,Good,No,0.22,C,53
Mortgage,6.54,4500,Health,Approved,9.0,4,25,39000,Excellent,No,0.12,B,54
Mortgage,10.38,13800,Study,Approved,2.0,4,25,51492,Very Good,No,0.27,B,54
Renter,7.49,11000,Personal,Approved,4.0,4,22,46000,Excellent,No,0.24,C,55
Owner,7.51,12000,Home Improvement,Approved,4.0,9,33,55000,Excellent,No,0.22,A,118
Mortgage,6.62,12250,Business,Approved,7.0,6,29,52833,Excellent,No,0.23,B,80
Mortgage,12.68,1750,Health,Approved,1.0,3,23,15000,Good,Yes,0.12,B,42
Renter,7.29,6000,Debt Consolidation,Approved,2.0,10,35,65004,Excellent,No,0.09,C,130
Renter,7.29,1000,Debt Consolidation,Approved,,13,42,22000,Excellent,No,0.05,C,160
Renter,15.27,8000,Business,Declined,1.0,11,39,116000,Good,No,0.07,C,134
Mortgage,8.9,1500,Business,Approved,6.0,16,36,48000,Excellent,No,0.03,B,202
Renter,7.9,6000,Debt Consolidation,Approved,6.0,3,23,49000,Excellent,No,0.12,C,39
Owner,5.42,12000,Personal,Declined,,4,22,19008,Excellent,No,0.63,A,59
Renter,11.14,4800,Health,Approved,5.0,4,24,20000,Very Good,No,0.24,C,55
Mortgage,7.9,4000,Personal,Approved,0.0,8,28,60000,Excellent,No,0.07,B,99
Mortgage,6.99,8325,Health,Approved,2.0,10,35,106369,Excellent,No,0.08,B,124
Renter,15.57,2400,Debt Consolidation,Declined,0.0,5,30,34000,Fair,No,0.07,C,68
Mortgage,8.9,2600,Business,Approved,3.0,4,26,175000,Excellent,No,0.01,B,52
Owner,,24000,Health,Approved,8.0,2,24,88494,Very Good,No,0.27,A,34
Mortgage,12.18,12000,Study,Approved,1.0,4,23,90000,Very Good,No,0.13,B,55
Mortgage,13.55,25000,Health,Declined,1.0,4,26,58000,Fair,Yes,0.43,B,57
Mortgage,8.38,5300,Debt Consolidation,Approved,7.0,12,42,74000,Excellent,No,0.07,B,145
Mortgage,7.51,4000,Home Improvement,Approved,8.0,3,25,44196,Excellent,No,0.09,B,40
Renter,14.59,20000,Health,Declined,4.0,4,25,38000,Fair,No,0.53,C,59
Renter,6.03,6625,Study,Declined,7.0,3,23,16800,Excellent,No,0.39,C,41
Renter,16.0,12000,Personal,Declined,1.0,15,41,113000,Fair,No,0.11,C,185
Renter,14.61,5000,Debt Consolidation,Declined,2.0,3,22,32968,Fair,No,0.15,C,39
Renter,13.99,5000,Health,Approved,8.0,4,24,38000,Good,No,0.13,C,59
Mortgage,10.59,1000,Debt Consolidation,Declined,2.0,2,23,33990,Good,No,0.03,B,26
Renter,12.87,6000,Study,Approved,1.0,3,25,47000,Good,Yes,0.13,C,38
Renter,10.64,15000,Home Improvement,Approved,11.0,6,27,75127,Very Good,No,0.2,C,78
Mortgage,15.65,7500,Business,Approved,14.0,8,30,120000,Fair,No,0.06,B,103
Renter,13.48,11200,Health,Approved,0.0,8,28,46739,Good,No,0.24,C,98
Renter,10.59,3000,Health,Approved,6.0,3,22,55500,Very Good,No,0.05,C,38
Renter,,4000,Study,Approved,6.0,2,22,36000,Very Good,No,0.11,C,34
Renter,13.85,24250,Debt Consolidation,Approved,2.0,3,25,306000,Good,No,0.08,C,37
Mortgage,6.62,10000,Personal,Approved,15.0,28,55,91154,Excellent,No,0.11,B,339
Renter,16.49,20000,Business,Declined,2.0,2,24,54000,Fair,No,0.37,C,28
Renter,9.63,3000,Study,Approved,1.0,2,23,77200,Very Good,No,0.04,C,33
Renter,,2000,Study,Approved,3.0,3,23,45000,Very Good,No,0.04,C,41
Renter,,8000,Personal,Declined,2.0,15,47,44004,Very Good,No,0.18,C,191
Renter,10.37,4000,Debt Consolidation,Declined,4.0,6,29,19200,Very Good,No,0.21,C,78
Owner,12.53,24250,Business,Approved,5.0,3,24,101000,Very Good,No,0.24,A,39
Mortgage,13.49,16000,Personal,Approved,11.0,13,43,49578,Good,Yes,0.32,B,167
Mortgage,9.63,10000,Health,Declined,9.0,2,24,54000,Excellent,No,0.19,B,27
Renter,,6000,Business,Approved,2.0,3,25,62000,Excellent,No,0.1,C,37
Renter,6.91,8000,Business,Declined,3.0,17,42,18000,Excellent,No,0.44,C,215
Mortgage,10.08,25000,Personal,Approved,4.0,4,24,95000,Very Good,No,0.26,B,51
Mortgage,5.42,4000,Home Improvement,Approved,4.0,10,32,72500,Excellent,No,0.06,B,129
Mortgage,,13000,Debt Consolidation,Approved,2.0,2,23,58200,Very Good,No,0.22,B,35
Renter,,9600,Health,Declined,1.0,7,27,66300,Fair,No,0.12,C,86
Renter,7.49,10000,Study,Declined,2.0,4,22,20000,Excellent,No,0.5,C,52
Renter,7.9,7500,Study,Approved,0.0,2,22,42500,Excellent,No,0.18,C,33
Mortgage,9.01,25000,Study,Approved,6.0,2,22,57000,Very Good,No,0.44,B,35
Renter,11.11,4800,Personal,Approved,0.0,3,23,36000,Very Good,No,0.13,C,45
Renter,21.64,25000,Health,Declined,12.0,9,29,162350,Extremely Poor,Yes,0.13,C,110
Mortgage,6.03,10000,Study,Approved,5.0,3,21,65000,Excellent,No,0.15,B,41
Mortgage,13.49,20000,Study,Approved,6.0,10,30,93000,Good,No,0.22,B,127
Mortgage,7.9,5100,Debt Consolidation,Approved,3.0,5,30,30000,Excellent,No,0.17,B,62
Mortgage,,24000,Health,Approved,15.0,10,31,190000,Good,No,0.13,B,127
Mortgage,5.99,11000,Home Improvement,Approved,8.0,2,24,96000,Excellent,No,0.11,B,27
Renter,15.7,25000,Home Improvement,Approved,7.0,2,24,110000,Fair,Yes,0.23,C,29
Renter,11.49,1500,Debt Consolidation,Declined,12.0,8,29,30000,Very Good,No,0.05,C,102
Mortgage,11.71,4000,Home Improvement,Approved,11.0,6,27,106000,Very Good,No,0.04,B,73
Mortgage,5.42,3000,Health,Approved,12.0,5,28,33600,Excellent,No,0.09,B,70
Renter,9.63,8000,Health,Approved,4.0,3,24,40000,Very Good,No,0.2,C,37
Mortgage,8.49,2500,Home Improvement,Declined,5.0,3,24,98004,Excellent,No,0.03,B,42
Owner,,10000,Study,Approved,2.0,4,23,69996,Very Good,No,0.14,A,53
Renter,12.53,10000,Business,Approved,4.0,7,29,68500,Very Good,No,0.15,C,93
Mortgage,11.11,20000,Study,Approved,2.0,5,30,78000,Very Good,No,0.26,B,71
Owner,16.29,4000,Study,Approved,5.0,11,44,36000,Fair,No,0.11,A,139
Owner,5.79,9600,Health,Approved,3.0,10,27,39000,Excellent,No,0.25,A,129
Mortgage,13.98,8000,Health,Approved,3.0,6,28,100000,Good,Yes,0.08,B,83
Renter,9.25,2400,Debt Consolidation,Approved,,2,25,95000,Very Good,No,0.03,C,33
Mortgage,11.99,17000,Debt Consolidation,Declined,8.0,3,24,30000,Very Good,No,0.57,B,47
Mortgage,,30000,Debt Consolidation,Approved,7.0,2,26,175000,Very Good,No,0.17,B,25
Mortgage,6.76,3250,Business,Approved,3.0,7,29,48000,Excellent,No,0.07,B,95
Mortgage,10.99,7000,Health,Approved,6.0,2,23,64500,Very Good,No,0.11,B,30
Mortgage,11.83,10000,Business,Approved,2.0,3,24,40000,Very Good,No,0.25,B,45
Renter,14.61,20000,Debt Consolidation,Declined,4.0,11,40,45996,Fair,No,0.43,C,137
Renter,7.51,10000,Personal,Approved,5.0,3,24,100000,Excellent,No,0.1,C,44
Owner,12.69,22800,Business,Approved,2.0,2,22,43000,Very Good,No,0.53,A,25
Mortgage,,12000,Health,Approved,14.0,7,34,37500,Very Good,No,0.32,B,85
Renter,6.62,12000,Health,Approved,1.0,7,32,48400,Excellent,No,0.25,C,94
Renter,7.49,20000,Home Improvement,Declined,14.0,25,52,54833,Excellent,No,0.36,C,310
Mortgage,6.91,21600,Business,Approved,6.0,4,22,128000,Excellent,No,0.17,B,55
Mortgage,14.84,3000,Personal,Approved,4.0,7,29,62000,Fair,No,0.05,B,93
Mortgage,14.27,10625,Home Improvement,Approved,12.0,6,28,25000,Good,Yes,0.42,B,75
Renter,7.51,6500,Health,Approved,7.0,3,26,28000,Excellent,No,0.23,C,38
Owner,13.35,12000,Health,Approved,8.0,3,24,90000,Good,No,0.13,A,38
Renter,12.53,4800,Health,Declined,1.0,4,22,13440,Very Good,No,0.36,C,55
Renter,,7525,Debt Consolidation,Approved,1.0,8,27,85000,Excellent,No,0.09,C,106
Mortgage,5.42,2100,Study,Approved,7.0,3,23,35000,Excellent,No,0.06,B,46
Renter,8.9,5000,Personal,Approved,0.0,5,33,35000,Excellent,No,0.14,C,69
Mortgage,10.91,25000,Personal,Declined,9.0,3,25,67000,Good,No,0.37,B,43
Mortgage,7.51,5400,Home Improvement,Approved,3.0,4,26,36000,Excellent,No,0.15,B,54
Mortgage,14.79,4000,Debt Consolidation,Approved,,2,23,33600,Good,No,0.12,B,27
Mortgage,,20000,Debt Consolidation,Approved,3.0,8,29,70000,Very Good,No,0.29,B,99
Renter,15.65,4000,Personal,Declined,2.0,3,25,13000,Fair,Yes,0.31,C,37
Mortgage,10.74,8000,Personal,Approved,8.0,3,24,103000,Very Good,No,0.08,B,43
Renter,15.96,10000,Personal,Approved,7.0,15,44,61000,Good,No,0.16,C,191
Renter,7.49,12500,Business,Approved,5.0,4,21,49000,Excellent,No,0.26,C,52
Renter,13.61,13000,Health,Declined,0.0,8,30,36000,Good,No,0.36,C,102
Renter,15.21,1550,Business,Approved,4.0,3,22,34480,Fair,Yes,0.04,C,44
Mortgage,7.74,4800,Health,Approved,3.0,7,27,110000,Excellent,No,0.04,B,95
Renter,14.54,4800,Debt Consolidation,Declined,5.0,3,23,33000,Fair,Yes,0.15,C,46
Mortgage,7.9,18000,Personal,Approved,15.0,10,33,68000,Excellent,No,0.26,B,127
Mortgage,10.59,2400,Home Improvement,Approved,6.0,10,32,33280,Very Good,No,0.07,B,130
Renter,6.17,8000,Personal,Approved,1.0,9,34,35000,Excellent,No,0.23,C,115
Owner,7.9,3000,Business,Approved,3.0,4,22,35004,Excellent,No,0.09,A,55
Renter,6.92,13500,Personal,Approved,0.0,2,24,57000,Excellent,No,0.24,C,27
Renter,12.69,6000,Home Improvement,Approved,1.0,10,28,112000,Very Good,No,0.05,C,125
Mortgage,6.76,7200,Health,Approved,12.0,5,33,51000,Excellent,No,0.14,B,62
Renter,10.75,10000,Personal,Approved,7.0,7,30,68000,Very Good,No,0.15,C,92
Renter,12.73,25000,Health,Declined,9.0,2,25,61959,Good,No,0.4,C,33
Mortgage,6.91,15000,Business,Approved,20.0,15,39,105201,Excellent,No,0.14,B,182
Mortgage,5.99,5200,Personal,Approved,2.0,2,22,60000,Excellent,No,0.09,B,26
Mortgage,,8500,Home Improvement,Declined,3.0,5,30,69000,Good,No,0.12,B,70
Owner,7.9,7000,Health,Approved,8.0,4,24,27600,Excellent,No,0.25,A,49
Owner,6.54,10000,Home Improvement,Approved,9.0,3,25,123996,Excellent,No,0.08,A,37
Renter,13.84,12000,Home Improvement,Approved,1.0,7,30,60000,Good,Yes,0.2,C,95
Renter,7.29,5750,Study,Approved,9.0,4,25,85000,Excellent,No,0.07,C,54
Mortgage,7.88,8000,Business,Approved,4.0,4,22,96000,Excellent,No,0.08,B,52
Owner,8.49,3200,Study,Approved,3.0,5,28,50000,Excellent,No,0.06,A,71
Mortgage,10.65,4500,Study,Approved,9.0,2,25,64800,Very Good,No,0.07,B,26
Mortgage,,4000,Health,Declined,1.0,3,25,18000,Very Good,No,0.22,B,43
Mortgage,6.62,7200,Home Improvement,Approved,7.0,7,35,82008,Excellent,No,0.09,B,89
Mortgage,10.83,1200,Business,Approved,1.0,2,23,40000,Very Good,No,0.03,B,35
Mortgage,9.99,14350,Study,Approved,6.0,2,22,100000,Very Good,No,0.14,B,33
Mortgage,11.11,6500,Study,Approved,2.0,7,31,27036,Very Good,No,0.24,B,87
Renter,10.65,6000,Debt Consolidation,Approved,0.0,2,25,55000,Very Good,No,0.11,C,27
Mortgage,9.63,12000,Personal,Approved,1.0,4,25,160000,Very Good,No,0.07,B,57
Renter,10.62,14000,Health,Approved,7.0,8,27,100000,Very Good,No,0.14,C,104
Renter,11.71,16000,Health,Declined,7.0,8,29,47000,Very Good,No,0.34,C,104
Mortgage,,12000,Personal,Approved,11.0,6,27,100000,Excellent,No,0.12,B,76
Mortgage,8.94,12000,Health,Approved,1.0,7,28,110000,Excellent,No,0.11,B,91
Mortgage,7.14,7000,Personal,Approved,7.0,13,43,93000,Excellent,No,0.08,B,163
Owner,16.45,15000,Study,Approved,3.0,5,27,69830,Poor,Yes,0.21,A,61
Mortgage,8.49,5550,Health,Approved,8.0,3,24,80000,Excellent,No,0.07,B,42
Renter,6.17,5000,Debt Consolidation,Approved,9.0,4,25,58296,Excellent,No,0.09,C,59
Renter,8.59,10000,Study,Approved,2.0,4,21,39996,Excellent,No,0.25,C,57
Mortgage,13.99,3000,Study,Approved,6.0,2,25,51000,Good,No,0.06,B,31
Mortgage,6.62,10200,Home Improvement,Approved,3.0,8,30,64000,Excellent,No,0.16,B,98
Renter,11.58,25000,Home Improvement,Declined,3.0,4,26,66000,Very Good,No,0.38,C,49
Mortgage,11.14,15000,Business,Approved,15.0,8,30,66000,Very Good,No,0.23,B,103
Renter,7.66,6700,Health,Declined,0.0,4,22,12000,Excellent,No,0.56,C,58
Renter,6.76,2100,Personal,Approved,1.0,2,22,52800,Excellent,No,0.04,C,35
Renter,6.62,5000,Debt Consolidation,Approved,4.0,2,23,24000,Excellent,No,0.21,C,28
Mortgage,12.84,15000,Personal,Approved,1.0,3,23,85000,Good,No,0.18,B,43
Renter,12.73,5000,Health,Approved,6.0,18,52,30000,Good,Yes,0.17,C,226
Mortgage,7.51,3000,Home Improvement,Approved,11.0,16,49,110000,Excellent,No,0.03,B,194
Owner,13.24,15000,Business,Approved,7.0,3,23,46776,Fair,No,0.32,A,46
Mortgage,6.99,15000,Health,Approved,11.0,7,29,84000,Excellent,No,0.18,B,95
Mortgage,,25000,Study,Approved,8.0,2,24,150000,Very Good,No,0.17,B,29
Renter,7.49,8800,Study,Approved,6.0,4,22,47000,Excellent,No,0.19,C,57
Renter,10.59,18000,Debt Consolidation,Approved,7.0,16,38,81000,Very Good,No,0.22,C,201
Mortgage,7.51,10750,Debt Consolidation,Approved,2.0,9,35,72000,Excellent,No,0.15,B,111
Owner,6.76,1500,Business,Approved,2.0,4,25,25000,Excellent,No,0.06,A,51
Mortgage,10.99,20000,Debt Consolidation,Declined,,3,23,63600,Very Good,No,0.31,B,39
Mortgage,7.74,4000,Study,Approved,9.0,7,30,28500,Excellent,No,0.14,B,92
Mortgage,15.62,9400,Home Improvement,Approved,4.0,12,36,214200,Fair,Yes,0.04,B,154
Renter,8.49,6000,Health,Declined,0.0,8,29,29000,Excellent,No,0.21,C,98
Mortgage,7.49,7000,Debt Consolidation,Approved,,3,23,53160,Excellent,No,0.13,B,47
Mortgage,6.92,9600,Debt Consolidation,Approved,7.0,2,23,150000,Excellent,No,0.06,B,27
Owner,7.74,5000,Business,Declined,0.0,13,37,15000,Excellent,No,0.33,A,158
Renter,16.0,5400,Business,Declined,2.0,9,29,44000,Fair,Yes,0.12,C,109
Renter,7.88,4000,Debt Consolidation,Approved,1.0,6,30,42000,Excellent,No,0.1,C,80
Mortgage,6.03,7275,Health,Approved,,3,22,36000,Excellent,No,0.2,B,37
Mortgage,6.99,18000,Health,Approved,4.0,4,26,155000,Excellent,No,0.12,B,50
Mortgage,5.42,12000,Health,Approved,10.0,3,26,66912,Excellent,No,0.18,B,43
Renter,12.73,12800,Study,Approved,3.0,2,22,44400,Good,No,0.29,C,28
Owner,7.49,11000,Business,Approved,4.0,2,24,45000,Excellent,No,0.24,A,29
Renter,15.99,3600,Personal,Declined,0.0,10,27,21112,Fair,Yes,0.17,C,126
Renter,10.99,6600,Business,Approved,0.0,21,57,70000,Very Good,No,0.09,C,261
Renter,5.42,1500,Study,Approved,6.0,2,22,58000,Excellent,No,0.03,C,34
Renter,13.35,4000,Debt Consolidation,Approved,5.0,2,21,55000,Good,Yes,0.07,C,26
Mortgage,10.25,18000,Business,Approved,6.0,3,22,96384,Very Good,No,0.19,B,38
Renter,7.88,10000,Debt Consolidation,Approved,2.0,6,28,42500,Excellent,No,0.24,C,73
Mortgage,5.42,6000,Study,Approved,10.0,4,26,56000,Excellent,No,0.11,B,50
Mortgage,14.35,4000,Debt Consolidation,Approved,5.0,6,29,40000,Good,Yes,0.1,B,75
Mortgage,10.0,1200,Study,Approved,2.0,5,32,78400,Very Good,No,0.02,B,62
Renter,7.74,8000,Business,Approved,0.0,9,32,30000,Excellent,No,0.27,C,110
Owner,5.42,12000,Business,Declined,,2,22,19008,Excellent,No,0.63,A,29
Mortgage,,10000,Debt Consolidation,Approved,20.0,16,36,150000,Excellent,No,0.07,B,193
Renter,,12000,Debt Consolidation,Approved,4.0,5,27,120000,Excellent,No,0.1,C,71
Renter,11.99,7200,Business,Approved,6.0,9,35,50000,Very Good,No,0.14,C,113
Renter,10.59,9000,Debt Consolidation,Approved,7.0,4,23,83000,Very Good,No,0.11,C,52
Renter,,5000,Business,Declined,0.0,4,22,15000,Fair,Yes,0.33,C,58
Renter,17.14,24000,Debt Consolidation,Declined,0.0,5,27,47000,Poor,No,0.51,C,67
Mortgage,9.99,7000,Home Improvement,Declined,8.0,3,26,46000,Very Good,No,0.15,B,46
Mortgage,12.69,2500,Debt Consolidation,Approved,12.0,7,30,60000,Very Good,No,0.04,B,87
Mortgage,14.59,10000,Study,Approved,7.0,2,23,42000,Fair,Yes,0.24,B,30
Owner,10.36,3000,Personal,Approved,5.0,2,22,30000,Very Good,No,0.1,A,31
Renter,13.22,6500,Business,Declined,1.0,4,22,34000,Good,No,0.19,C,51
Renter,10.62,25000,Business,Approved,14.0,9,32,200000,Very Good,No,0.13,C,113
Renter,7.88,11000,Study,Approved,9.0,2,25,48996,Excellent,No,0.22,C,33
Renter,6.54,20000,Study,Approved,0.0,8,30,156000,Excellent,No,0.13,C,101
Renter,16.0,12000,Debt Consolidation,Declined,5.0,5,27,42000,Poor,Yes,0.29,C,66
Mortgage,10.62,10000,Study,Declined,5.0,2,21,34000,Very Good,No,0.29,B,27
Renter,10.99,2000,Business,Approved,0.0,5,27,50000,Very Good,No,0.04,C,66
Renter,8.59,10000,Health,Approved,13.0,9,28,36000,Excellent,No,0.28,C,115
Renter,7.49,8000,Study,Approved,0.0,3,22,90000,Excellent,No,0.09,C,43
Mortgage,8.59,6400,Study,Approved,5.0,3,24,61193,Excellent,No,0.1,B,43
Renter,13.49,3600,Health,Approved,1.0,3,24,40000,Good,No,0.09,C,42
Mortgage,8.0,8000,Home Improvement,Approved,2.0,2,24,55000,Excellent,No,0.15,B,30
Renter,14.35,2500,Debt Consolidation,Approved,6.0,4,22,54996,Good,Yes,0.05,C,53
Renter,15.27,7200,Business,Approved,,8,29,30000,Good,Yes,0.24,C,99
Mortgage,,10000,Business,Approved,6.0,4,22,50000,Good,No,0.2,B,59
Renter,7.51,10000,Study,Approved,5.0,4,22,36996,Excellent,No,0.27,C,49
Owner,11.49,24250,Health,Approved,8.0,9,27,59004,Very Good,No,0.41,A,109
Mortgage,10.37,4450,Debt Consolidation,Approved,4.0,6,30,45000,Very Good,No,0.1,B,81
Mortgage,5.42,10000,Business,Approved,7.0,3,23,45992,Excellent,No,0.22,B,45
Renter,10.95,4000,Personal,Approved,0.0,9,30,34000,Very Good,No,0.12,C,114
Mortgage,11.71,28000,Business,Approved,18.0,7,34,62000,Very Good,No,0.45,B,86
Mortgage,11.11,10000,Study,Approved,2.0,3,23,45000,Very Good,No,0.22,B,37
Mortgage,8.9,18000,Business,Approved,6.0,3,22,99000,Excellent,No,0.18,B,47
Renter,,4000,Home Improvement,Declined,17.0,7,33,57700,Good,Yes,0.07,C,91
Renter,12.99,12000,Business,Declined,1.0,2,23,73500,Good,No,0.16,C,25
Mortgage,15.31,25000,Debt Consolidation,Declined,1.0,3,26,111917,Fair,No,0.22,B,37
Renter,6.76,2000,Business,Approved,3.0,2,22,48255,Excellent,No,0.04,C,33
Mortgage,14.96,7000,Study,Approved,4.0,3,22,23000,Fair,Yes,0.3,B,41
Mortgage,5.99,9000,Personal,Approved,17.0,17,41,55000,Excellent,No,0.16,B,215
Renter,12.68,15000,Personal,Approved,1.0,4,24,118300,Good,No,0.13,C,52
Mortgage,7.51,8150,Health,Approved,2.0,4,22,75000,Excellent,No,0.11,B,53
Mortgage,7.66,7000,Personal,Approved,,3,24,75000,Excellent,No,0.09,B,47
Renter,7.88,5000,Home Improvement,Declined,0.0,3,24,10668,Excellent,No,0.47,C,39
Mortgage,5.42,6000,Personal,Approved,11.0,15,43,98004,Excellent,No,0.06,B,182
Renter,14.27,14000,Study,Approved,6.0,7,34,80000,Good,Yes,0.17,C,87
Mortgage,5.79,18000,Debt Consolidation,Approved,5.0,2,25,80000,Excellent,No,0.23,B,30
Mortgage,11.49,4400,Business,Approved,2.0,3,22,26400,Very Good,No,0.17,B,44
Renter,12.42,10000,Business,Declined,2.0,7,34,26000,Very Good,No,0.38,C,88
Mortgage,7.66,12000,Personal,Approved,3.0,7,30,65000,Excellent,No,0.18,B,95
Renter,12.98,13775,Business,Declined,6.0,14,40,32878,Good,Yes,0.42,C,170
Mortgage,7.14,10000,Health,Approved,7.0,2,23,51000,Excellent,No,0.2,B,29
Mortgage,5.42,9000,Business,Approved,0.0,9,32,30000,Excellent,No,0.3,B,112
Renter,14.91,8000,Health,Declined,6.0,7,28,39000,Fair,Yes,0.21,C,93
Renter,12.69,3600,Debt Consolidation,Approved,6.0,3,22,38400,Very Good,No,0.09,C,45
Renter,5.42,5000,Personal,Approved,6.0,2,23,80000,Excellent,No,0.06,C,29
Renter,16.35,15850,Health,Declined,8.0,3,24,50000,Poor,Yes,0.32,C,44
Renter,8.49,1400,Study,Approved,6.0,10,35,24960,Excellent,No,0.06,C,127
Renter,,3600,Debt Consolidation,Approved,2.0,10,27,36200,Very Good,No,0.1,C,128
Renter,15.62,2150,Debt Consolidation,Declined,10.0,3,26,57600,Fair,Yes,0.04,C,46
Renter,12.84,1000,Personal,Approved,3.0,3,22,24000,Good,Yes,0.04,C,47
Renter,10.74,4000,Personal,Approved,1.0,9,27,39000,Very Good,No,0.1,C,117
Mortgage,16.89,10000,Debt Consolidation,Declined,14.0,7,33,50000,Fair,No,0.2,B,89
Mortgage,5.79,4000,Health,Approved,11.0,6,27,59000,Excellent,No,0.07,B,79
Owner,6.92,7200,Business,Approved,8.0,13,36,150000,Excellent,No,0.05,A,167
Mortgage,10.59,6000,Debt Consolidation,Approved,6.0,3,24,33360,Very Good,No,0.18,B,44
Renter,14.27,10000,Health,Approved,9.0,2,25,42000,Good,No,0.24,C,29
Renter,14.65,18000,Personal,Declined,6.0,7,29,42000,Good,No,0.43,C,91
Mortgage,7.88,13600,Study,Approved,10.0,7,28,52000,Excellent,No,0.26,B,85
Renter,13.06,15000,Study,Declined,2.0,10,30,37600,Good,Yes,0.4,C,124
Mortgage,5.42,9600,Study,Approved,10.0,3,26,75000,Excellent,No,0.13,B,41
Renter,13.43,5025,Debt Consolidation,Approved,2.0,2,22,40000,Good,No,0.13,C,25
Mortgage,11.49,7550,Personal,Approved,9.0,4,25,175000,Very Good,No,0.04,B,53
Owner,8.59,10000,Health,Approved,0.0,8,35,91000,Excellent,No,0.11,A,104
Renter,6.99,2800,Personal,Approved,4.0,7,28,47000,Excellent,No,0.06,C,85
Renter,,2800,Study,Approved,3.0,8,28,45000,Good,No,0.06,C,98
Mortgage,8.49,15000,Home Improvement,Declined,12.0,5,31,54000,Excellent,No,0.28,B,70
Mortgage,13.99,35000,Study,Approved,8.0,2,24,205000,Good,No,0.17,B,33
Mortgage,11.11,1750,Study,Approved,9.0,8,30,36000,Very Good,No,0.05,B,101
Mortgage,6.62,12800,Health,Approved,3.0,10,35,72000,Excellent,No,0.18,B,130
Mortgage,10.62,5000,Business,Approved,10.0,2,26,58000,Very Good,No,0.09,B,30
Renter,6.54,12000,Business,Declined,1.0,2,24,35000,Excellent,No,0.34,C,28
Renter,,3000,Study,Approved,2.0,3,22,45000,Excellent,No,0.07,C,47
Renter,13.11,4200,Debt Consolidation,Declined,8.0,2,24,15000,Good,Yes,0.28,C,34
Mortgage,13.35,10000,Business,Approved,3.0,2,26,38004,Good,No,0.26,B,32
Mortgage,10.99,6750,Health,Approved,1.0,4,22,60000,Very Good,No,0.11,B,54
Renter,14.54,10000,Business,Declined,0.0,7,28,30000,Fair,No,0.33,C,86
Renter,9.76,4000,Study,Approved,6.0,3,25,30000,Very Good,No,0.13,C,40
Renter,9.99,5600,Debt Consolidation,Approved,0.0,7,29,60000,Very Good,No,0.09,C,87
Mortgage,5.42,8500,Study,Declined,10.0,3,26,54000,Excellent,No,0.16,B,42
